user_id,Age,Gender,Occupation,Education Qualification,Monthly Income,Region,product_id,Top_Selling_Item,Feature,Feedback_Text,Sentiment,Sentiment_Score,Customer_Rating,Seasonal_Preference,Cuisine_Preference,Repeat_Purchase_Item,Preferred_Price_Range,Trend_Forecast,Latitude,Longitude
U1129,22,Female,Student,Graduate,20000-40000,North,P229,Burger,Availability,Neutral opinion.,Neutral,0.59,3,Summer: Ice Cream/Softdrinks,Street Food,Coffee,400-600,Plant-based Meat,28.6139,77.209
U1130,18,Male,Teacher,Postgraduate,Above 60000,North,P230,Hot Soup,Availability,Good quality product.,Positive,0.83,4,Summer: Ice Cream/Softdrinks,Street Food,Ice Cream,200-400,Regional Recipes,28.6139,77.209
U1131,22,Male,Engineer,Graduate,20000-40000,North,P231,Spicy Noodles,Availability,Neutral opinion.,Neutral,0.46,3,Summer: Ice Cream/Softdrinks,North Indian,Spicy Noodles,200-400,Protein Rich Meals,28.6139,77.209
U1132,30,Male,Developer,Doctorate,20000-40000,Metro,P232,Pizza,Quality,Could be better.,Neutral,0.55,3,Summer: Ice Cream/Softdrinks,Italian,Spicy Noodles,400-600,Street Food Revival,17.385,78.4867
U1133,22,Female,Lawyer,Doctorate,Below 10000,North,P233,Coffee,Price,Nothing special.,Neutral,0.51,3,Summer: Ice Cream/Softdrinks,Chinese,Salad,>600,Regional Recipes,28.6139,77.209
U1134,40,Female,Homemaker,Intermediate,10000-20000,North,P234,Pizza,Quality,Not available in my region.,Negative,0.29,2,Summer: Ice Cream/Softdrinks,North Indian,Burger,100-200,Low Sugar Desserts,28.6139,77.209
U1135,28,Male,Homemaker,Intermediate,10000-20000,Metro,P235,Burger,Availability,Not available in my region.,Negative,0.34,1,Summer: Ice Cream/Softdrinks,Chinese,Pizza,400-600,Vegan Food,17.385,78.4867
U1136,40,Female,Homemaker,Intermediate,40000-60000,North,P236,Pizza,Quality,Average experience.,Neutral,0.54,3,Summer: Ice Cream/Softdrinks,Street Food,Hot Soup,<100,Street Food Revival,28.6139,77.209
U1137,30,Female,Teacher,Postgraduate,10000-20000,West,P237,Salad,Availability,Great packaging.,Positive,0.69,5,Cold: Hot/Spicy,Street Food,Spicy Noodles,400-600,Gluten-Free Products,19.076,72.8777
U1138,28,Male,Engineer,Intermediate,20000-40000,East,P238,Burger,Quality,Good quality product.,Positive,0.79,4,Summer: Ice Cream/Softdrinks,Street Food,Biryani,100-200,Low Sugar Desserts,22.5726,88.3639
U1139,45,Male,Lawyer,Doctorate,40000-60000,East,P239,Sandwich,Availability,Good quality product.,Positive,0.9,4,Summer: Ice Cream/Softdrinks,Street Food,Ice Cream,200-400,Plant-based Meat,22.5726,88.3639
U1140,25,Male,Homemaker,Postgraduate,40000-60000,South,P240,Coffee,Availability,Too expensive.,Negative,0.36,2,Summer: Ice Cream/Softdrinks,Street Food,Spicy Noodles,200-400,Street Food Revival,12.9716,77.5946
U1141,25,Male,Developer,Postgraduate,Above 60000,South,P241,Coffee,Taste,Affordable and tasty.,Positive,0.96,5,Cold: Hot/Spicy,Street Food,Hot Soup,<100,Protein Rich Meals,12.9716,77.5946
U1142,30,Male,Analyst,Intermediate,20000-40000,East,P242,Pizza,Quality,Could be better.,Neutral,0.43,3,Summer: Ice Cream/Softdrinks,Italian,Biryani,400-600,Low Sugar Desserts,22.5726,88.3639
U1143,34,Female,Developer,Graduate,Below 10000,West,P243,Ice Cream,Packaging,Okay product.,Neutral,0.53,3,Cold: Hot/Spicy,North Indian,Spicy Noodles,200-400,Protein Rich Meals,19.076,72.8777
U1144,30,Female,Doctor,Intermediate,Above 60000,North,P244,Sandwich,Price,Not available in my region.,Negative,0.16,2,Summer: Ice Cream/Softdrinks,Italian,Ice Cream,400-600,Healthy Bowls,28.6139,77.209
U1145,30,Male,Developer,Doctorate,Below 10000,Metro,P245,Ice Cream,Quality,Affordable and tasty.,Positive,0.71,5,Cold: Hot/Spicy,Chinese,Hot Soup,<100,Organic Snacks,17.385,78.4867
U1146,25,Female,Homemaker,Doctorate,Above 60000,West,P246,Hot Soup,Taste,Satisfied with my purchase.,Positive,0.64,4,Summer: Ice Cream/Softdrinks,North Indian,Soft Drinks,200-400,Vegan Food,19.076,72.8777
U1147,28,Female,Developer,Doctorate,No Income,North,P247,Ice Cream,Availability,Affordable and tasty.,Positive,0.93,5,Summer: Ice Cream/Softdrinks,Italian,Biryani,200-400,Vegan Food,28.6139,77.209
U1148,34,Female,Engineer,Postgraduate,40000-60000,Metro,P248,Biryani,Packaging,Nothing special.,Neutral,0.52,3,Summer: Ice Cream/Softdrinks,American,Pizza,<100,Vegan Food,17.385,78.4867
U1149,34,Female,Doctor,Postgraduate,10000-20000,West,P249,Biryani,Packaging,Could be better.,Neutral,0.5,3,Cold: Hot/Spicy,Street Food,Pizza,400-600,Regional Recipes,19.076,72.8777
U1150,30,Female,Analyst,Doctorate,Above 60000,South,P250,Spicy Noodles,Quality,Affordable and tasty.,Positive,0.71,5,Summer: Ice Cream/Softdrinks,Italian,Salad,100-200,Plant-based Meat,12.9716,77.5946
U1151,30,Female,Engineer,Graduate,Above 60000,Metro,P251,Salad,Quality,Affordable and tasty.,Positive,0.94,4,Summer: Ice Cream/Softdrinks,Italian,Salad,<100,Street Food Revival,17.385,78.4867
U1152,40,Female,Teacher,Doctorate,40000-60000,East,P252,Salad,Price,Taste was bland.,Negative,0.01,2,Summer: Ice Cream/Softdrinks,North Indian,Hot Soup,100-200,Protein Rich Meals,22.5726,88.3639
U1153,34,Female,Student,Postgraduate,Above 60000,East,P253,Spicy Noodles,Price,Average experience.,Neutral,0.46,3,Cold: Hot/Spicy,American,Salad,200-400,Organic Snacks,22.5726,88.3639
U1154,30,Male,Lawyer,Graduate,No Income,South,P254,Biryani,Availability,Very bad quality.,Negative,0.37,2,Cold: Hot/Spicy,North Indian,Sandwich,200-400,Vegan Food,12.9716,77.5946
U1155,18,Female,Developer,Doctorate,20000-40000,Metro,P255,Coffee,Packaging,Satisfied with my purchase.,Positive,0.66,5,Cold: Hot/Spicy,Italian,Sandwich,400-600,Organic Snacks,17.385,78.4867
U1156,40,Female,Engineer,Graduate,Above 60000,East,P256,Salad,Availability,Good quality product.,Positive,0.92,4,Cold: Hot/Spicy,Chinese,Biryani,>600,Gluten-Free Products,22.5726,88.3639
U1157,34,Male,Student,Postgraduate,No Income,South,P257,Spicy Noodles,Taste,Packaging was poor.,Negative,0.31,1,Summer: Ice Cream/Softdrinks,North Indian,Spicy Noodles,400-600,Healthy Bowls,12.9716,77.5946
U1158,18,Female,Teacher,Postgraduate,10000-20000,East,P258,Salad,Availability,Loved the taste!,Positive,0.8,4,Cold: Hot/Spicy,North Indian,Pizza,>600,Healthy Bowls,22.5726,88.3639
U1159,25,Female,Student,Intermediate,Above 60000,South,P259,Spicy Noodles,Price,Okay product.,Neutral,0.43,3,Cold: Hot/Spicy,Street Food,Pizza,>600,Organic Snacks,12.9716,77.5946
U1160,45,Female,Homemaker,Intermediate,Above 60000,Metro,P260,Pizza,Availability,Satisfied with my purchase.,Positive,0.78,4,Summer: Ice Cream/Softdrinks,Italian,Sandwich,<100,Plant-based Meat,17.385,78.4867
U1161,30,Female,Student,Graduate,Above 60000,South,P261,Coffee,Quality,Very bad quality.,Negative,0.3,2,Summer: Ice Cream/Softdrinks,American,Sandwich,>600,Gluten-Free Products,12.9716,77.5946
U1162,34,Male,Teacher,Intermediate,Above 60000,Metro,P262,Sandwich,Price,Loved the taste!,Positive,0.62,4,Summer: Ice Cream/Softdrinks,South Indian,Burger,>600,Plant-based Meat,17.385,78.4867
U1163,40,Female,Analyst,Graduate,Below 10000,Metro,P263,Burger,Quality,Not available in my region.,Negative,0.33,1,Cold: Hot/Spicy,Italian,Sandwich,>600,Street Food Revival,17.385,78.4867
U1164,40,Female,Developer,Graduate,40000-60000,West,P264,Sandwich,Taste,Good quality product.,Positive,0.74,5,Summer: Ice Cream/Softdrinks,South Indian,Burger,<100,Street Food Revival,19.076,72.8777
U1165,25,Male,Homemaker,Doctorate,10000-20000,North,P265,Hot Soup,Packaging,Okay product.,Neutral,0.44,3,Cold: Hot/Spicy,American,Pizza,100-200,Street Food Revival,28.6139,77.209
U1166,28,Female,Developer,Intermediate,No Income,West,P266,Coffee,Price,Taste was bland.,Negative,0.17,1,Summer: Ice Cream/Softdrinks,North Indian,Biryani,>600,Organic Snacks,19.076,72.8777
U1167,45,Male,Engineer,Doctorate,20000-40000,East,P267,Burger,Packaging,Good quality product.,Positive,0.98,5,Cold: Hot/Spicy,South Indian,Burger,200-400,Low Sugar Desserts,22.5726,88.3639
U1168,40,Male,Lawyer,Postgraduate,No Income,South,P268,Pizza,Quality,Loved the taste!,Positive,0.84,5,Cold: Hot/Spicy,Street Food,Sandwich,>600,Gluten-Free Products,12.9716,77.5946
U1169,34,Male,Teacher,Doctorate,Below 10000,East,P269,Hot Soup,Price,Great packaging.,Positive,0.85,4,Cold: Hot/Spicy,Chinese,Coffee,>600,Healthy Bowls,22.5726,88.3639
U1170,22,Male,Student,Postgraduate,20000-40000,West,P270,Biryani,Packaging,Satisfied with my purchase.,Positive,0.67,4,Summer: Ice Cream/Softdrinks,Street Food,Spicy Noodles,100-200,Vegan Food,19.076,72.8777
U1171,25,Male,Teacher,Postgraduate,20000-40000,Metro,P271,Biryani,Packaging,Loved the taste!,Positive,0.62,4,Summer: Ice Cream/Softdrinks,Italian,Hot Soup,>600,Low Sugar Desserts,17.385,78.4867
U1172,25,Female,Analyst,Postgraduate,Below 10000,North,P272,Coffee,Taste,Neutral opinion.,Neutral,0.5,3,Summer: Ice Cream/Softdrinks,North Indian,Hot Soup,200-400,Low Sugar Desserts,28.6139,77.209
U1173,45,Female,Doctor,Postgraduate,20000-40000,North,P273,Ice Cream,Price,Nothing special.,Neutral,0.48,3,Cold: Hot/Spicy,Italian,Soft Drinks,200-400,Vegan Food,28.6139,77.209
U1174,22,Female,Analyst,Graduate,No Income,North,P274,Spicy Noodles,Quality,Taste was bland.,Negative,0.22,2,Cold: Hot/Spicy,Street Food,Coffee,>600,Plant-based Meat,28.6139,77.209
U1175,25,Male,Doctor,Postgraduate,Below 10000,North,P275,Spicy Noodles,Price,Not available in my region.,Negative,0.3,2,Cold: Hot/Spicy,North Indian,Sandwich,>600,Fusion Cuisine,28.6139,77.209
U1176,40,Male,Homemaker,Intermediate,10000-20000,Metro,P276,Pizza,Availability,Satisfied with my purchase.,Positive,0.85,5,Cold: Hot/Spicy,North Indian,Ice Cream,100-200,Regional Recipes,17.385,78.4867
U1177,45,Male,Student,Intermediate,Below 10000,West,P277,Salad,Packaging,Average experience.,Neutral,0.43,3,Cold: Hot/Spicy,Street Food,Burger,100-200,Vegan Food,19.076,72.8777
U1178,22,Male,Lawyer,Intermediate,No Income,East,P278,Biryani,Price,Affordable and tasty.,Positive,0.63,5,Cold: Hot/Spicy,Chinese,Burger,<100,Gluten-Free Products,22.5726,88.3639
U1179,30,Male,Teacher,Graduate,No Income,North,P279,Soft Drinks,Quality,Good quality product.,Positive,0.83,4,Summer: Ice Cream/Softdrinks,Italian,Biryani,100-200,Fusion Cuisine,28.6139,77.209
U1180,45,Male,Teacher,Graduate,40000-60000,West,P280,Sandwich,Packaging,Taste was bland.,Negative,0.12,1,Cold: Hot/Spicy,Italian,Coffee,<100,Street Food Revival,19.076,72.8777
U1181,28,Female,Analyst,Graduate,10000-20000,Metro,P281,Spicy Noodles,Availability,Could be better.,Neutral,0.45,3,Summer: Ice Cream/Softdrinks,Chinese,Hot Soup,<100,Healthy Bowls,17.385,78.4867
U1182,34,Female,Student,Postgraduate,No Income,West,P282,Pizza,Taste,Great packaging.,Positive,0.88,4,Summer: Ice Cream/Softdrinks,South Indian,Coffee,100-200,Fusion Cuisine,19.076,72.8777
U1183,28,Male,Student,Postgraduate,40000-60000,North,P283,Spicy Noodles,Price,Neutral opinion.,Neutral,0.44,3,Cold: Hot/Spicy,Street Food,Burger,100-200,Fusion Cuisine,28.6139,77.209
U1184,34,Male,Doctor,Graduate,20000-40000,West,P284,Coffee,Packaging,Loved the taste!,Positive,0.84,4,Cold: Hot/Spicy,South Indian,Soft Drinks,>600,Vegan Food,19.076,72.8777
U1185,18,Male,Homemaker,Intermediate,10000-20000,Metro,P285,Ice Cream,Availability,Packaging was poor.,Negative,0.21,1,Summer: Ice Cream/Softdrinks,North Indian,Coffee,200-400,Protein Rich Meals,17.385,78.4867
U1186,30,Male,Teacher,Postgraduate,Below 10000,South,P286,Spicy Noodles,Taste,Average experience.,Neutral,0.6,3,Cold: Hot/Spicy,American,Soft Drinks,100-200,Vegan Food,12.9716,77.5946
U1187,34,Female,Doctor,Postgraduate,Above 60000,Metro,P287,Burger,Packaging,Packaging was poor.,Negative,0,1,Cold: Hot/Spicy,Chinese,Salad,<100,Protein Rich Meals,17.385,78.4867
U1188,34,Male,Engineer,Intermediate,10000-20000,West,P288,Hot Soup,Price,Very bad quality.,Negative,0.34,2,Summer: Ice Cream/Softdrinks,Street Food,Ice Cream,100-200,Vegan Food,19.076,72.8777
U1189,25,Female,Engineer,Postgraduate,40000-60000,South,P289,Coffee,Packaging,Neutral opinion.,Neutral,0.43,3,Cold: Hot/Spicy,Chinese,Biryani,>600,Healthy Bowls,12.9716,77.5946
U1190,34,Male,Lawyer,Postgraduate,Above 60000,West,P290,Spicy Noodles,Price,Taste was bland.,Negative,0.1,2,Cold: Hot/Spicy,North Indian,Ice Cream,200-400,Fusion Cuisine,19.076,72.8777
U1191,18,Female,Homemaker,Intermediate,10000-20000,West,P291,Pizza,Packaging,Loved the taste!,Positive,0.75,5,Cold: Hot/Spicy,Chinese,Burger,>600,Fusion Cuisine,19.076,72.8777
U1192,45,Female,Teacher,Graduate,Above 60000,Metro,P292,Soft Drinks,Availability,Satisfied with my purchase.,Positive,0.75,4,Summer: Ice Cream/Softdrinks,North Indian,Spicy Noodles,<100,Protein Rich Meals,17.385,78.4867
U1193,22,Female,Teacher,Intermediate,10000-20000,East,P293,Salad,Packaging,Nothing special.,Neutral,0.4,3,Summer: Ice Cream/Softdrinks,South Indian,Spicy Noodles,>600,Protein Rich Meals,22.5726,88.3639
U1194,40,Male,Lawyer,Graduate,10000-20000,South,P294,Soft Drinks,Packaging,Average experience.,Neutral,0.49,3,Cold: Hot/Spicy,American,Spicy Noodles,200-400,Healthy Bowls,12.9716,77.5946
U1195,45,Male,Engineer,Postgraduate,Above 60000,East,P295,Biryani,Quality,Okay product.,Neutral,0.56,3,Cold: Hot/Spicy,Italian,Sandwich,>600,Regional Recipes,22.5726,88.3639
U1196,22,Female,Analyst,Postgraduate,10000-20000,North,P296,Soft Drinks,Packaging,Nothing special.,Neutral,0.57,3,Summer: Ice Cream/Softdrinks,Italian,Soft Drinks,400-600,Organic Snacks,28.6139,77.209
U1197,25,Male,Engineer,Graduate,No Income,North,P297,Soft Drinks,Quality,Okay product.,Neutral,0.47,3,Summer: Ice Cream/Softdrinks,Chinese,Soft Drinks,200-400,Protein Rich Meals,28.6139,77.209
U1198,34,Male,Lawyer,Graduate,Above 60000,South,P298,Coffee,Packaging,Average experience.,Neutral,0.47,3,Cold: Hot/Spicy,Chinese,Pizza,200-400,Plant-based Meat,12.9716,77.5946
U1199,18,Female,Engineer,Intermediate,40000-60000,East,P299,Hot Soup,Availability,Very bad quality.,Negative,0.27,1,Cold: Hot/Spicy,Street Food,Coffee,>600,Low Sugar Desserts,22.5726,88.3639
